DATAFLOW,MEASURE: Measure,INDEX: Index,TSEST: Adjustment Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,DECIMALS: Decimals,OBS_COMMENT: Observation Comment
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2010-Q1,96.8,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2010-Q2,96.8,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2010-Q3,96.2,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2010-Q4,96.8,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2011-Q1,99.6,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2011-Q2,102.5,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2011-Q3,102,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2011-Q4,100.6,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2012-Q1,98.4,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2012-Q2,99,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2012-Q3,100.5,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2012-Q4,100.1,IN: Index Numbers,,1: One,
ABS:CPI(1.1.0),1: Index Numbers,20001: Food and non-alcoholic beverages,10: Original,5: Perth,Q: Quarterly,2013-Q1,100.2,IN: Index Numbers,,1: One,
