DATAFLOW,MEASURE: Measure,INDUSTRY: Industry,TSEST: Adjustment Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2010-07,1449.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2010-08,1398.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2010-09,1396.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2010-10,1475.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2010-11,1494.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2010-12,1846.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-01,1423.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-02,1272.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-03,1435.7,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-04,1390.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-05,1380.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-06,1349,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-07,1402.5,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-08,1393.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-09,1403.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-10,1455.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-11,1515.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2011-12,1869.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-01,1405.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-02,1319.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-03,1456,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-04,1385.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-05,1424.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-06,1404.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-07,1408.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-08,1428.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-09,1405.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-10,1461.4,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-11,1500.3,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2012-12,1814.6,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-01,1434.9,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-02,1258.2,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-03,1434.8,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-04,1359.1,AUD: Australian Dollars,6: Millions,,
ABS:RT(1.0.0),M1: Current Prices,20: Total,10: Original,4: South Australia,M: Monthly,2013-05,1419.7,AUD: Australian Dollars,6: Millions,,
